n,num_bits,num_samples,learning_rate,hidden_dim,layers_num,num_samples_test,batch_size,epochs,test_loss
5,16,500,0.001,64,3,1000,64,100,0.14225564897060394
5,16,500,0.001,64,4,1000,32,100,0.16327686607837677
5,16,500,0.001,64,4,1000,64,100,0.14647184312343597
5,16,500,0.005,8,2,1000,32,100,0.12351632118225098
5,16,500,0.005,8,2,1000,64,100,0.1248529925942421
5,16,500,0.005,8,3,1000,32,100,0.1270681768655777
5,16,500,0.005,8,3,1000,64,100,0.1251041144132614
5,16,500,0.005,8,4,1000,32,100,0.12333574146032333
5,16,500,0.005,8,4,1000,64,100,0.12485203891992569
5,16,500,0.005,16,2,1000,32,100,0.13650305569171906
5,16,500,0.005,16,2,1000,64,100,0.1330384910106659
5,16,500,0.005,16,3,1000,32,100,0.13645140826702118
5,16,500,0.005,16,3,1000,64,100,0.13593555986881256
5,16,500,0.005,16,4,1000,32,100,0.1396520584821701
5,16,500,0.005,16,4,1000,64,100,0.13676504790782928
5,16,500,0.005,32,2,1000,32,100,0.15731751918792725
5,16,500,0.005,32,2,1000,64,100,0.15178678929805756
5,16,500,0.005,32,3,1000,32,100,0.17571286857128143
5,16,500,0.005,32,3,1000,64,100,0.1566777378320694
5,16,500,0.005,32,4,1000,32,100,0.18963508307933807
5,16,500,0.005,32,4,1000,64,100,0.16368353366851807
5,16,500,0.005,64,2,1000,32,100,0.19247078895568848
5,16,500,0.005,64,2,1000,64,100,0.17760661244392395
5,16,500,0.005,64,3,1000,32,100,0.20721964538097382
5,16,500,0.005,64,3,1000,64,100,0.2018478959798813
5,16,500,0.005,64,4,1000,32,100,0.212201789021492
5,16,500,0.005,64,4,1000,64,100,0.21249891817569733
5,32,500,0.001,8,2,1000,32,100,0.12331801652908325
5,32,500,0.001,8,2,1000,64,100,0.12375924736261368
5,32,500,0.001,8,3,1000,32,100,0.12414850294589996
5,32,500,0.001,8,3,1000,64,100,0.12374000996351242
5,32,500,0.001,8,4,1000,32,100,0.12420699000358582
5,32,500,0.001,8,4,1000,64,100,0.12320415675640106
5,32,500,0.001,16,2,1000,32,100,0.12694789469242096
5,32,500,0.001,16,2,1000,64,100,0.12661859393119812
5,32,500,0.001,16,3,1000,32,100,0.1267782598733902
5,32,500,0.001,16,3,1000,64,100,0.12572941184043884
5,32,500,0.001,16,4,1000,32,100,0.1271793693304062
5,32,500,0.001,16,4,1000,64,100,0.12510204315185547
5,32,500,0.001,32,2,1000,32,100,0.1307445615530014
5,32,500,0.001,32,2,1000,64,100,0.12844033539295197
5,32,500,0.001,32,3,1000,32,100,0.13270239531993866
5,32,500,0.001,32,3,1000,64,100,0.12988848984241486
5,32,500,0.001,32,4,1000,32,100,0.13397206366062164
5,32,500,0.001,32,4,1000,64,100,0.12964996695518494
5,32,500,0.001,64,2,1000,32,100,0.13850781321525574
5,32,500,0.001,64,2,1000,64,100,0.13571219146251678
5,32,500,0.001,64,3,1000,32,100,0.14800569415092468
5,32,500,0.001,64,3,1000,64,100,0.14047962427139282
5,32,500,0.001,64,4,1000,32,100,0.15193593502044678
5,32,500,0.001,64,4,1000,64,100,0.14162561297416687
5,32,500,0.005,8,2,1000,32,100,0.12634685635566711
5,32,500,0.005,8,2,1000,64,100,0.12675374746322632
5,32,500,0.005,8,3,1000,32,100,0.12727345526218414
5,32,500,0.005,8,3,1000,64,100,0.12715597450733185
5,32,500,0.005,8,4,1000,32,100,0.12619878351688385
5,32,500,0.005,8,4,1000,64,100,0.1267201155424118
5,32,500,0.005,16,2,1000,32,100,0.13349537551403046
5,32,500,0.005,16,2,1000,64,100,0.13137930631637573
5,32,500,0.005,16,3,1000,32,100,0.13608768582344055
5,32,500,0.005,16,3,1000,64,100,0.13512706756591797
5,32,500,0.005,16,4,1000,32,100,0.13569651544094086
5,32,500,0.005,16,4,1000,64,100,0.13306711614131927
5,32,500,0.005,32,2,1000,32,100,0.14873702824115753
5,32,500,0.005,32,2,1000,64,100,0.14559146761894226
5,32,500,0.005,32,3,1000,32,100,0.16452372074127197
5,32,500,0.005,32,3,1000,64,100,0.15094229578971863
5,32,500,0.005,32,4,1000,32,100,0.1595746874809265
5,32,500,0.005,32,4,1000,64,100,0.15314823389053345
5,32,500,0.005,64,2,1000,32,100,0.18376277387142181
5,32,500,0.005,64,2,1000,64,100,0.17253102362155914
5,32,500,0.005,64,3,1000,32,100,0.21082669496536255
5,32,500,0.005,64,3,1000,64,100,0.20058085024356842
5,32,500,0.005,64,4,1000,32,100,0.2167443186044693
5,32,500,0.005,64,4,1000,64,100,0.20254957675933838
10,4,500,0.001,8,2,1000,32,100,0.09628935158252716
10,4,500,0.001,8,2,1000,64,100,0.08955051004886627
10,4,500,0.001,8,3,1000,32,100,0.09698175638914108
10,4,500,0.001,8,3,1000,64,100,0.09226072579622269
10,4,500,0.001,8,4,1000,32,100,0.10212447494268417
10,4,500,0.001,8,4,1000,64,100,0.09404604136943817
10,4,500,0.001,16,2,1000,32,100,0.09773173928260803
10,4,500,0.001,16,2,1000,64,100,0.09774130582809448
10,4,500,0.001,16,3,1000,32,100,0.11500949412584305
10,4,500,0.001,16,3,1000,64,100,0.09852232784032822
10,4,500,0.001,16,4,1000,32,100,0.1254374384880066
10,4,500,0.001,16,4,1000,64,100,0.10065341740846634
10,4,500,0.001,32,2,1000,32,100,0.11905133724212646
10,4,500,0.001,32,2,1000,64,100,0.11276502907276154
10,4,500,0.001,32,3,1000,32,100,0.13587118685245514
10,4,500,0.001,32,3,1000,64,100,0.12342191487550735
10,4,500,0.001,32,4,1000,32,100,0.14712542295455933
10,4,500,0.001,32,4,1000,64,100,0.13656498491764069
10,4,500,0.001,64,2,1000,32,100,0.12870001792907715
10,4,500,0.001,64,2,1000,64,100,0.11950840055942535
10,4,500,0.001,64,3,1000,32,100,0.13570517301559448
10,4,500,0.001,64,3,1000,64,100,0.13135990500450134
10,4,500,0.001,64,4,1000,32,100,0.13960066437721252
10,4,500,0.001,64,4,1000,64,100,0.14006775617599487
10,4,500,0.005,8,2,1000,32,100,0.11710115522146225
10,4,500,0.005,8,2,1000,64,100,0.11347421258687973
10,4,500,0.005,8,3,1000,32,100,0.11536552757024765
10,4,500,0.005,8,3,1000,64,100,0.12212943285703659
10,4,500,0.005,8,4,1000,32,100,0.11201590299606323
10,4,500,0.005,8,4,1000,64,100,0.12051358819007874
10,4,500,0.005,16,2,1000,32,100,0.1422048658132553
10,4,500,0.005,16,2,1000,64,100,0.1314699947834015
10,4,500,0.005,16,3,1000,32,100,0.14940595626831055
10,4,500,0.005,16,3,1000,64,100,0.13983769714832306
10,4,500,0.005,16,4,1000,32,100,0.1482667326927185
10,4,500,0.005,16,4,1000,64,100,0.14033697545528412
10,4,500,0.005,32,2,1000,32,100,0.13941791653633118
10,4,500,0.005,32,2,1000,64,100,0.15280722081661224
10,4,500,0.005,32,3,1000,32,100,0.15464597940444946
10,4,500,0.005,32,3,1000,64,100,0.1464041769504547
10,4,500,0.005,32,4,1000,32,100,0.14531119167804718
10,4,500,0.005,32,4,1000,64,100,0.14797765016555786
10,4,500,0.005,64,2,1000,32,100,0.142899289727211
10,4,500,0.005,64,2,1000,64,100,0.14082428812980652
10,4,500,0.005,64,3,1000,32,100,0.14076706767082214
10,4,500,0.005,64,3,1000,64,100,0.14778470993041992
10,4,500,0.005,64,4,1000,32,100,0.1451292484998703
10,4,500,0.005,64,4,1000,64,100,0.1472409963607788
10,8,500,0.001,8,2,1000,32,100,0.10928214341402054
10,8,500,0.001,8,2,1000,64,100,0.11030622571706772
10,8,500,0.001,8,3,1000,32,100,0.10931574553251266
10,8,500,0.001,8,3,1000,64,100,0.11013685911893845
10,8,500,0.001,8,4,1000,32,100,0.11390688270330429
10,8,500,0.001,8,4,1000,64,100,0.10895971953868866
10,8,500,0.001,16,2,1000,32,100,0.11667061597108841
10,8,500,0.001,16,2,1000,64,100,0.11151595413684845
10,8,500,0.001,16,3,1000,32,100,0.11698511987924576
10,8,500,0.001,16,3,1000,64,100,0.11501862108707428
10,8,500,0.001,16,4,1000,32,100,0.12144260108470917
10,8,500,0.001,16,4,1000,64,100,0.11412598192691803
